
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable8/1/2-downstream1;RFGW10-Channel_8/4.11-GbE8/11;37;29.96;0.18;7.31;62.69;1;0;0
Modular-Cable8/1/2-downstream2;RFGW10-Channel_8/3.15-GbE_4;37;29.81;0.18;7.14;62.24;1;0;0
Modular-Cable8/1/2-downstream3;RFGW10-Channel_8/3.12-GbE8/11;37;29.75;0.18;7.09;61.8;1;0;0
Modular-Cable8/1/2-downstream4;RFGW10-Channel_8/3.13-GbE8/11;37;30.65;0.18;7.44;64.88;1;0;0
Modular-Cable8/1/2-downstream5;RFGW10-Channel_8/3.14-GbE8/11;37;30.77;0.18;7.41;64.52;1;0;0
Modular-Cable8/1/2-downstream6;RFGW10-Channel_8/3.15-GbE8/11;37;30.58;0.19;7.39;63.82;1;0;0
Modular-Cable8/1/2-downstream7;RFGW10-Channel_8/3.16-GbE8/11;37;30.51;0.18;7.36;64.61;1;0;0
Modular-Cable8/1/0-downstream8;RFGW10-Channel_8/2.1-GbE_0;37;24.62;0.27;8.5;55.84;0;0;0
Modular-Cable8/1/0-downstream9;RFGW10-Channel_8/2.2-GbE_0;37;23.96;0.26;8.08;54.79;0;0;0


Node_CEN-01/CEN-02

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable6/0/0-downstream5;RFGW10-Channel_6/1.6-Gi6/10;37;35.11;0.53;12.15;92.35;89;0;0
Modular-Cable6/0/0-downstream4;RFGW10-Channel_6/1.5-Gi6/10;37;35.17;0.53;12.14;92.42;88;1;5
Modular-Cable6/0/0-downstream7;RFGW10-Channel_6/1.8-Gi6/10;37;35.12;0.53;12.08;92.28;88;0;0
Modular-Cable6/0/0-downstream6;RFGW10-Channel_6/1.7-Gi6/10;37;35.09;0.53;12.11;92.16;86;0;0
Modular-Cable6/0/0-downstream1;RFGW10-Channel_6/2.3-Gi6/10;37;35.13;0.55;12.33;92.41;88;0;0
Modular-Cable6/0/0-downstream0;RFGW10-Channel_6/1.1-Gi6/10;37;35.05;0.54;12.34;92.16;86;0;0
Modular-Cable6/0/0-downstream3;RFGW10-Channel_6/1.4-Gi6/10;37;35.13;0.54;12.12;92.41;89;0;0
Modular-Cable6/0/0-downstream2;RFGW10-Channel_6/3.5-Gi6/10;37;34.99;0.54;12.25;92.3;89;0;0
Modular-Cable6/0/0-downstream11;RFGW10-Channel_6/2.4-Gi6/10;37;34.39;0.55;12.12;86.34;24;0;0
Modular-Cable6/0/0-downstream9;RFGW10-Channel_6/2.2-Gi6/10;37;33.26;0.56;11.96;83.4;21;0;0
Modular-Cable6/0/0-downstream8;RFGW10-Channel_6/2.1-Gi6/10;37;33.38;0.56;11.97;83.61;21;0;0
Modular-Cable6/0/0-downstream12;RFGW10-Channel_6/2.5-Gi6/10;37;33.3;0.56;11.97;84.18;25;0;0
Modular-Cable6/0/0-downstream15;RFGW10-Channel_6/2.8-Gi6/10;37;33.96;0.56;12.03;85.5;23;0;0
Modular-Cable6/0/0-downstream10;RFGW10-Channel_6/2.3-Gi6/10;37;33.01;0.57;12.27;84.75;24;0;0
Modular-Cable6/0/0-downstream13;RFGW10-Channel_6/2.6-Gi6/10;37;33.34;0.56;12.0;84.04;19;0;0
Modular-Cable6/0/0-downstream14;RFGW10-Channel_6/2.7-Gi6/10;37;33.12;0.56;11.97;84.19;21;0;0


Node_CEN-03/CEN-08

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/0/0-downstream14;RFGW10-Channel_6/1.15;37;18.67;0.21;6.92;39.98;0;0;0
Modular-Cable7/0/0-downstream15;RFGW10-Channel_6/1.16;37;18.68;0.21;6.76;39.69;0;0;0
Modular-Cable7/0/0-downstream12;RFGW10-Channel_6/1.13;37;22.32;0.22;7.53;44.28;0;0;0
Modular-Cable7/0/0-downstream13;RFGW10-Channel_6/1.14;37;18.68;0.21;7.04;41.19;0;0;0
Modular-Cable7/0/0-downstream10;RFGW10-Channel_6/1.11;37;18.64;0.21;6.76;39.64;0;0;0
Modular-Cable7/0/0-downstream11;RFGW10-Channel_6/1.12;37;18.64;0.21;6.9;42.73;0;0;0
Modular-Cable7/0/0-downstream4;RFGW10-Channel_6/1.5;37;26.09;0.83;10.17;61.88;0;0;0
Modular-Cable7/0/0-downstream5;RFGW10-Channel_6/1.6;37;26.06;0.82;10.16;61.72;0;0;0
Modular-Cable7/0/0-downstream6;RFGW10-Channel_6/1.7;37;26.06;0.82;10.14;61.74;0;0;0
Modular-Cable7/0/0-downstream7;RFGW10-Channel_6/1.8;37;26.01;0.82;10.12;61.77;0;0;0
Modular-Cable7/0/0-downstream0;RFGW10-Channel_6/1.1;37;26.14;0.85;10.29;62.08;0;0;0
Modular-Cable7/0/0-downstream1;RFGW10-Channel_6/1.11;37;26.19;0.85;10.23;61.93;0;0;0
Modular-Cable7/0/0-downstream2;RFGW10-Channel_6/7.5;37;26.25;0.84;10.35;62.29;0;0;0
Modular-Cable7/0/0-downstream3;RFGW10-Channel_6/1.4;37;26.08;0.83;10.19;61.44;0;0;0
Modular-Cable7/0/0-downstream8;RFGW10-Channel_6/1.9;37;18.67;0.21;6.74;39.6;0;0;0
Modular-Cable7/0/0-downstream9;RFGW10-Channel_6/1.10;37;18.74;0.21;6.73;39.89;0;0;0


Node_CEN-04/CEN-07

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/0-downstream19;RFGW10-Channel_7/1.20;37;30.83;0.48;10.79;71.37;2;0;0
Modular-Cable7/1/0-downstream18;RFGW10-Channel_7/1.19;37;30.84;0.48;10.8;71.41;2;0;0
Modular-Cable7/1/2-downstream7;RFGW10-Channel_7/2.8;37;21.96;0.31;7.84;49.35;0;0;0
Modular-Cable7/1/2-downstream3;RFGW10-Channel_7/2.4;37;21.93;0.31;8.03;50.24;0;0;0
Modular-Cable7/1/2-downstream5;RFGW10-Channel_7/2.6;37;21.74;0.31;7.84;50.03;0;0;0
Modular-Cable7/1/2-downstream4;RFGW10-Channel_7/2.5;37;21.79;0.43;7.88;49.82;0;0;0
Modular-Cable7/1/0-downstream20;RFGW10-Channel_7/1.21;37;30.78;0.48;10.84;71.04;2;0;0
Modular-Cable7/1/0-downstream21;RFGW10-Channel_7/1.22;37;30.67;0.48;10.78;71.48;2;0;0
Modular-Cable7/1/0-downstream17;RFGW10-Channel_7/1.18;37;30.84;0.48;10.83;71.74;2;0;0
Modular-Cable7/1/0-downstream16;RFGW10-Channel_7/1.17;37;30.89;0.48;10.86;70.97;2;0;0
Modular-Cable7/1/0-downstream22;RFGW10-Channel_7/1.23;37;30.81;0.47;10.75;71.01;2;0;0
Modular-Cable7/1/2-downstream6;RFGW10-Channel_7/2.7;37;21.78;0.31;7.88;50.03;0;0;0
Modular-Cable7/1/2-downstream0;RFGW10-Channel_7/2.1;37;21.76;0.31;7.83;49.3;0;0;0
Modular-Cable7/1/0-downstream23;RFGW10-Channel_7/1.24;37;30.39;0.47;10.75;71.38;2;0;0
Modular-Cable7/1/2-downstream1;RFGW10-Channel_7/2.11;37;21.78;0.31;8.17;51.26;0;0;0
Modular-Cable7/1/2-downstream2;RFGW10-Channel_7/2.21;37;21.73;0.31;7.82;49.32;0;0;0


Node_CEN-05/CEN-09

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/0-downstream11;RFGW10-Channel_7/1.12;37;19.2;1.5;7.05;35.59;0;0;0
