
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/6-downstream3;;37;33.58;0.42;14.46;81.24;16;0;0
Integrated-Cable0/0/6-downstream2;;37;33.72;0.4;14.35;81.67;18;0;0
Integrated-Cable0/0/6-downstream9;;37;28.36;0.83;12.01;70.1;0;0;0
Integrated-Cable0/0/6-downstream8;;37;27.47;0.89;12.11;71.16;0;0;0


Node_BRA-03

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/7-downstream23;;37;28.94;0.16;10.08;57.1;0;0;0
Integrated-Cable0/0/7-downstream22;;37;28.96;0.15;9.88;56.34;0;0;0
Integrated-Cable0/0/7-downstream21;;37;28.88;0.15;9.86;57.08;0;0;0
Integrated-Cable0/0/7-downstream20;;37;28.99;0.16;10.05;56.89;0;0;0
Integrated-Cable0/0/7-downstream18;;37;28.89;0.15;9.93;57.26;0;0;0
Integrated-Cable0/0/7-downstream19;;37;29.0;0.17;10.15;57.23;0;0;0
Integrated-Cable0/0/7-downstream16;;37;28.96;0.17;10.15;57.65;0;0;0
Integrated-Cable0/0/7-downstream17;;37;29.03;0.15;10.02;57.21;0;0;0
Integrated-Cable0/0/7-downstream14;;37;31.29;0.4;13.29;71.06;2;0;0
Integrated-Cable0/0/7-downstream15;;37;31.16;0.42;13.43;71.44;2;0;0
Integrated-Cable0/0/7-downstream12;;37;31.34;0.41;13.42;71.33;2;0;0
Integrated-Cable0/0/7-downstream13;;37;31.35;0.39;13.32;71.07;2;0;0
Integrated-Cable0/0/7-downstream10;;37;31.43;0.4;13.31;71.23;2;0;0
Integrated-Cable0/0/7-downstream11;;37;31.23;0.42;13.48;71.06;2;0;0
Integrated-Cable0/0/7-downstream4;;37;23.33;0.45;8.72;51.07;0;0;0
Integrated-Cable0/0/7-downstream5;;37;23.37;0.43;8.65;50.61;0;0;0
Integrated-Cable0/0/7-downstream6;;37;23.37;0.43;8.61;50.23;0;0;0
Integrated-Cable0/0/7-downstream7;;37;23.51;0.45;8.74;50.58;0;0;0
Integrated-Cable0/0/7-downstream0;;37;23.5;0.46;8.84;51.05;0;0;0
Integrated-Cable0/0/7-downstream1;;37;23.45;0.44;8.76;50.86;0;0;0
Integrated-Cable0/0/7-downstream2;;37;23.52;0.43;8.69;50.35;0;0;0
Integrated-Cable0/0/7-downstream3;;37;23.53;0.45;8.79;50.78;0;0;0
Integrated-Cable0/0/7-downstream8;;37;31.35;0.42;13.46;71.22;2;0;0
Integrated-Cable0/0/7-downstream9;;37;31.32;0.4;13.35;71.31;2;0;0


Node_BVK/ROM-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable8/1/0-downstream10;RFGW10-Channel_8/2.3-GbE_0;37;28.91;0.17;9.6;67.1;0;0;0
Modular-Cable8/1/0-downstream11;RFGW10-Channel_8/2.4-GbE_0;37;28.59;0.17;9.59;66.79;0;0;0
Modular-Cable8/1/0-downstream12;RFGW10-Channel_8/2.5-GbE_0;37;28.9;0.17;9.58;67.33;0;0;0
Modular-Cable8/1/0-downstream13;RFGW10-Channel_8/2.6-GbE_0;37;28.91;0.17;9.57;67.28;0;0;0
Modular-Cable8/1/0-downstream14;RFGW10-Channel_8/2.7-GbE_0;37;28.89;0.17;9.55;67.23;0;0;0
Modular-Cable8/1/0-downstream15;RFGW10-Channel_8/2.8-GbE_0;37;28.89;0.17;9.54;66.65;0;0;0
Modular-Cable8/1/2-downstream0;RFGW10-Channel_8/3.9-GbE8/11;37;35.13;0.01;13.99;89.9;67;0;0
Modular-Cable8/1/2-downstream1;RFGW10-Channel_8/4.11-GbE8/11;37;35.13;0.01;13.94;89.34;71;0;0
Modular-Cable8/1/2-downstream2;RFGW10-Channel_8/3.15-GbE_4;37;35.13;0.01;13.86;89.1;65;0;0
Modular-Cable8/1/2-downstream3;RFGW10-Channel_8/3.12-GbE8/11;37;35.39;0.01;13.79;89.01;70;1;5
Modular-Cable8/1/2-downstream4;RFGW10-Channel_8/3.13-GbE8/11;37;36.04;0.01;14.37;91.8;85;5;25
Modular-Cable8/1/2-downstream5;RFGW10-Channel_8/3.14-GbE8/11;37;36.2;0.01;14.34;91.58;84;6;30
Modular-Cable8/1/2-downstream6;RFGW10-Channel_8/3.15-GbE8/11;37;36.28;0.01;14.48;91.57;91;5;25
Modular-Cable8/1/2-downstream7;RFGW10-Channel_8/3.16-GbE8/11;37;35.98;0.01;14.26;91.6;82;4;20
Modular-Cable8/1/0-downstream8;RFGW10-Channel_8/2.1-GbE_0;37;28.7;0.17;9.65;66.98;0;0;0
Modular-Cable8/1/0-downstream9;RFGW10-Channel_8/2.2-GbE_0;37;28.65;0.17;9.62;67.3;0;0;0


Node_CEN-01/CEN-02

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable6/0/0-downstream5;RFGW10-Channel_6/1.6-Gi6/10;37;34.47;0.45;13.16;87.23;32;0;0
Modular-Cable6/0/0-downstream4;RFGW10-Channel_6/1.5-Gi6/10;37;34.57;0.44;13.18;87.06;35;0;0
Modular-Cable6/0/0-downstream7;RFGW10-Channel_6/1.8-Gi6/10;37;34.49;0.44;13.15;87.53;33;0;0
Modular-Cable6/0/0-downstream6;RFGW10-Channel_6/1.7-Gi6/10;37;34.66;0.45;13.16;87.61;34;0;0
Modular-Cable6/0/0-downstream1;RFGW10-Channel_6/2.3-Gi6/10;37;34.44;0.46;13.23;87.69;34;0;0
